id,x,y,z,name,text,world_id,catalog
10000,757722.357666,448006.386719,-21923.296875,纽扣松果,,1.0,87.0
10001,756378.680603,448224.292969,-21719.117188,纽扣松果,,1.0,87.0
10002,757395.822632,446806.160156,-22199.978516,纽扣松果,,1.0,87.0
10003,753825.844238,447747.929688,-21533.753906,纽扣松果,,1.0,87.0
10004,752097.619141,447697.835938,-21195.769531,纽扣松果,,1.0,87.0
10005,751696.571777,448258.015625,-21000.361328,纽扣松果,,1.0,87.0
10006,760643.962891,447480.128906,-22694.007812,纽扣松果,,1.0,87.0
10007,761088.584473,448070.097656,-22682.664062,纽扣松果,,1.0,87.0
10008,783318.726562,454651.328125,-22817.96875,纽扣松果,,1.0,87.0
10009,784456.708984,452734.003906,-23204.751953,纽扣松果,,1.0,87.0
10010,784647.214844,455343.589844,-22865.117188,纽扣松果,,1.0,87.0
10011,775577.259766,463759.578125,-20973.5,纽扣松果,,1.0,87.0
10012,776746.697266,461496.484375,-21017.777344,纽扣松果,,1.0,87.0
10013,773740.931641,465820.242188,-20318.324219,纽扣松果,,1.0,87.0
10014,770859.394531,465042.367188,-20334.236328,纽扣松果,,1.0,87.0
10015,771680.161133,461471.265625,-21086.611328,纽扣松果,,1.0,87.0
10016,775018.40625,460751.59375,-20997.113281,纽扣松果,,1.0,87.0
10017,774858.496094,458985.421875,-21337.658203,纽扣松果,,1.0,87.0
10018,767022.470703,458049.140625,-21695.044922,纽扣松果,,1.0,87.0
10019,764729.683594,458354.703125,-21506.769531,纽扣松果,,1.0,87.0
10020,766460.4375,459585.382812,-21431.730469,纽扣松果,,1.0,87.0
10021,752514.586182,449912.558594,-20090.287109,纽扣松果,,1.0,87.0
10022,752325.519531,449258.046875,-20240.267578,纽扣松果,,1.0,87.0
10023,769795.958984,458805.28125,-21462.732422,纽扣松果,,1.0,87.0
10024,769402.27832,458970.40625,-21438.990234,纽扣松果,,1.0,87.0
10025,769174.326172,459156.734375,-21410.140625,纽扣松果,,1.0,87.0
10026,766769.735352,458723.085938,-21577.550781,纽扣松果,,1.0,87.0
10027,766583.55957,459081.460938,-21505.931641,纽扣松果,,1.0,87.0
10028,766032.408203,459262.8125,-21461.822266,纽扣松果,,1.0,87.0
10029,764458.810547,458973.578125,-21380.072266,纽扣松果,,1.0,87.0
10030,764095.694824,458887.625,-21324.050781,纽扣松果,,1.0,87.0
10031,764806.816406,462771.351562,-20158.449219,纽扣松果,,1.0,87.0
10032,764502.513672,462834.320312,-20025.957031,纽扣松果,,1.0,87.0
10033,763694.258301,463370.46875,-19788.519531,纽扣松果,,1.0,87.0
10034,763588.307129,464420.984375,-19661.751953,纽扣松果,,1.0,87.0
10035,763400.912109,463635.140625,-19652.255859,纽扣松果,,1.0,87.0
10036,764030.435059,463547.125,-19798.255859,纽扣松果,,1.0,87.0
10037,762370.536133,462942.523438,-19622.605469,纽扣松果,,1.0,87.0
10038,761909.790527,462408.6875,-19598.984375,纽扣松果,,1.0,87.0
10039,761843.894531,461808.820312,-19644.671875,纽扣松果,,1.0,87.0
10040,761697.250488,461013.609375,-19835.220703,纽扣松果,,1.0,87.0
10041,760977.867676,461296.929688,-19631.617188,纽扣松果,,1.0,87.0
10042,761047.696289,460726.203125,-19652.404297,纽扣松果,,1.0,87.0
10043,761111.743652,460354.570312,-19766.177734,纽扣松果,,1.0,87.0
10044,761235.671387,459981.101562,-19852.898438,纽扣松果,,1.0,87.0
10045,761062.274414,459675.640625,-19757.185547,纽扣松果,,1.0,87.0
10046,761382.878906,459161.515625,-20039.716797,纽扣松果,,1.0,87.0
10047,761145.109863,458624.226562,-20027.953125,纽扣松果,,1.0,87.0
10048,761228.868652,455097.28125,-20530.478516,纽扣松果,,1.0,87.0
10049,762219.147949,455123.851562,-20691.892578,纽扣松果,,1.0,87.0
10050,762545.745117,454653.875,-20765.318359,纽扣松果,,1.0,87.0
10051,760008.016357,454696.460938,-20472.453125,纽扣松果,,1.0,87.0
10052,760875.974609,455136.566406,-20497.490234,纽扣松果,,1.0,87.0
10053,763495.092773,456060.050781,-21389.583984,纽扣松果,,1.0,87.0
10054,763929.07666,456148.335938,-21438.636719,纽扣松果,,1.0,87.0
10055,763537.517578,455605.390625,-21522.058594,纽扣松果,,1.0,87.0
10056,763798.960938,454402.417969,-21784.039062,纽扣松果,,1.0,87.0
10057,764192.359375,454313.347656,-21787.318359,纽扣松果,,1.0,87.0
10058,764741.318359,454121.148438,-21653.056641,纽扣松果,,1.0,87.0
10059,766007.498047,455938.328125,-21806.925781,纽扣松果,,1.0,87.0
10060,765695.22168,456253.171875,-21774.541016,纽扣松果,,1.0,87.0
10061,765719.855469,455847.699219,-21785.173828,纽扣松果,,1.0,87.0
10062,765965.957031,454902.097656,-21765.662109,纽扣松果,,1.0,87.0
10063,765709.354492,454606.980469,-21729.660156,纽扣松果,,1.0,87.0
10064,765433.855469,454778.773438,-21724.595703,纽扣松果,,1.0,87.0
10065,765040.214844,456869.378906,-21677.267578,纽扣松果,,1.0,87.0
10066,764760.631836,456732.613281,-21625.904297,纽扣松果,,1.0,87.0
10067,764770.168945,457177.566406,-21608.650391,纽扣松果,,1.0,87.0
10068,766239.895508,458376.632812,-21583.669922,纽扣松果,,1.0,87.0
10069,765973.21875,457953.453125,-21655.880859,纽扣松果,,1.0,87.0
10070,764916.391602,459155.898438,-21401.806641,纽扣松果,,1.0,87.0
10071,766074.858398,460032.203125,-21331.048828,纽扣松果,,1.0,87.0
